name;energy_kcal;fat_per100g;fat_percentage;saturated_fat_per100g;saturated_fat_percentage;carbohydrates_per100g;carbohydrates_percentage;sugars_per100g;sugars_percentage;protein_per100g;protein_percentage;fiber_per100g;fiber_percentage;salt_per100g;salt_percentage;is_organic;is_gluten_free;is_alcohol_free;is_lactose_free
Big Mac;550;30;49;10;20;45;33;9;16;25;12;5;6;1.2;5;0;0;1;0
Fries;365;17;42;2.3;6;49;53;0.3;1;3.4;4;4.2;5;0.5;2;0;1;1;1
Beer;150;0;0;0;0;5;100;0;0;1;2;0;0;0;1;0;0;0;1
Cheeseburger;300;14;42;6;20;32;43;6;19;15;12;2;3;1.1;6;0;0;1;0
Chicken Nuggets;250;14;50;3.5;12;16;25;0;0;18;30;1.2;4;0.8;3;0;1;1;1
McFlurry;340;11;30;6;20;54;48;42;70;6;8;0.2;1;0.3;2;0;1;0;1
Apple Pie;240;11;41;3.5;14;35;55;12;34;2;3;1.8;6;0.4;2;1;1;1;1
Spicy Chicken Sandwich;430;22;46;5;12;39;38;4;10;22;16;3;5;1.2;4;0;1;1;0
Whopper;670;40;53;12;28;49;29;12;18;28;14;2;2;1.3;5;0;0;1;0
Onion Rings;410;22;48;4;10;47;50;5;12;5;6;1;3;0.8;2;0;1;1;1
Chocolate Shake;580;16;28;8;18;90;62;75;78;8;12;0.1;1;0.4;1;0;1;0;1
Grilled Chicken Sandwich;370;12;30;3;9;35;38;3;8;28;18;2;4;1.0;3;0;1;1;0
Pepperoni Pizza;890;40;45;15;30;85;38;12;10;30;15;3;6;2.0;8;0;0;1;0
Veggie Pizza;750;25;32;10;20;95;45;15;12;20;10;5;10;1.8;7;1;1;1;1
Garlic Bread;350;15;40;4;12;48;55;1;2;7;8;2;6;1.0;5;1;1;1;1
Caesar Salad;420;25;55;7;15;12;18;2;5;24;20;3.5;9;0.6;4;1;1;1;0
Sushi Roll (Salmon);300;8;24;1.5;5;50;65;3;6;12;8;0.5;2;0.2;1;1;1;1;0
Sashimi;200;5;22;1;3;1;1;0;0;40;35;0;0;0.1;1;1;1;1;1
Miso Soup;50;1;18;0.2;5;5;40;1;10;6;12;0.8;6;2.0;30;1;1;1;1
Tempura;480;28;58;6;15;45;38;3;4;10;12;1.2;4;0.5;3;0;1;1;0
Pasta Carbonara;650;30;46;12;20;70;42;3;6;20;12;2;5;1.5;5;1;1;1;0
Spaghetti Bolognese;600;18;30;6;10;85;52;8;12;22;15;3;7;1.0;4;1;1;1;0
Garlic Shrimp;450;25;55;8;18;10;8;1;2;35;25;0.5;2;0.8;5;1;1;1;1
Chicken Curry;550;28;50;8;14;60;40;5;8;25;18;2;6;1.2;4;1;1;1;0
Vegetable Biryani;520;15;28;3;6;85;65;4;7;10;7;5;10;1.0;5;1;1;1;1
Tandoori Chicken;420;18;43;5;11;8;5;1;2;50;40;0.8;3;0.4;2;1;1;1;1
Falafel Wrap;480;22;45;3;8;60;50;5;10;15;12;4;8;0.6;3;1;1;1;1
Hummus & Pita;380;12;32;1.5;5;55;65;1;2;10;8;5;12;0.4;2;1;1;1;1
Greek Salad;320;18;56;5;12;15;18;2;5;10;10;2;6;0.3;2;1;1;1;1
Ramen;550;20;36;6;10;65;50;2;4;18;14;2;6;2.0;8;0;1;1;0
Pork Gyoza;420;18;43;5;10;40;45;3;6;12;14;1.5;5;0.7;3;0;1;1;1
Pho Bo;480;12;25;3;7;65;60;1;3;30;25;2;7;1.5;6;1;1;1;0
Spring Rolls;350;8;22;1.5;5;50;65;2;6;6;10;2.5;7;0.4;2;1;1;1;1
Banh Mi;520;22;42;4;10;55;40;5;8;20;15;3;7;1.2;5;0;1;1;0
